transaction_id,date,item_id,item_name,quantity
T0056066,2025-04-01,I001,Espresso,1
T0056067,2025-04-01,I001,Espresso,2
T0056068,2025-04-01,I001,Espresso,1
T0056069,2025-04-01,I001,Espresso,2
T0056070,2025-04-01,I001,Espresso,1
T0056071,2025-04-01,I001,Espresso,3
T0056072,2025-04-01,I001,Espresso,3
T0056073,2025-04-01,I001,Espresso,2
T0056074,2025-04-01,I001,Espresso,1
T0056075,2025-04-01,I001,Espresso,3
T0056076,2025-04-01,I001,Espresso,3
T0056077,2025-04-01,I001,Espresso,1
T0056078,2025-04-01,I001,Espresso,1
T0056079,2025-04-01,I001,Espresso,1
T0056080,2025-04-01,I001,Espresso,1
T0056081,2025-04-01,I001,Espresso,1
T0056082,2025-04-01,I001,Espresso,1
T0056083,2025-04-01,I001,Espresso,1
T0056084,2025-04-01,I001,Espresso,1
T0056085,2025-04-01,I001,Espresso,2
T0056086,2025-04-01,I001,Espresso,1
T0056087,2025-04-01,I002,Latte,1
T0056088,2025-04-01,I002,Latte,1
T0056089,2025-04-01,I002,Latte,1
T0056090,2025-04-01,I002,Latte,1
T0056091,2025-04-01,I002,Latte,2
T0056092,2025-04-01,I002,Latte,1
T0056093,2025-04-01,I002,Latte,1
T0056094,2025-04-01,I002,Latte,1
T0056095,2025-04-01,I002,Latte,2
T0056096,2025-04-01,I002,Latte,2
T0056097,2025-04-01,I002,Latte,1
T0056098,2025-04-01,I002,Latte,1
T0056099,2025-04-01,I002,Latte,1
T0056100,2025-04-01,I002,Latte,2
T0056101,2025-04-01,I002,Latte,1
T0056102,2025-04-01,I002,Latte,2
T0056103,2025-04-01,I002,Latte,3
T0056104,2025-04-01,I002,Latte,3
T0056105,2025-04-01,I002,Latte,2
T0056106,2025-04-01,I002,Latte,1
T0056107,2025-04-01,I002,Latte,1
T0056108,2025-04-01,I002,Latte,1
T0056109,2025-04-01,I002,Latte,1
T0056110,2025-04-01,I002,Latte,1
T0056111,2025-04-01,I002,Latte,1
T0056112,2025-04-01,I002,Latte,1
T0056113,2025-04-01,I002,Latte,2
T0056114,2025-04-01,I002,Latte,1
T0056115,2025-04-01,I002,Latte,1
T0056116,2025-04-01,I002,Latte,1
T0056117,2025-04-01,I002,Latte,2
T0056118,2025-04-01,I002,Latte,3
T0056119,2025-04-01,I003,Cappuccino,1
T0056120,2025-04-01,I003,Cappuccino,1
T0056121,2025-04-01,I003,Cappuccino,1
T0056122,2025-04-01,I003,Cappuccino,2
T0056123,2025-04-01,I003,Cappuccino,1
T0056124,2025-04-01,I003,Cappuccino,2
T0056125,2025-04-01,I003,Cappuccino,2
T0056126,2025-04-01,I003,Cappuccino,1
T0056127,2025-04-01,I003,Cappuccino,2
T0056128,2025-04-01,I003,Cappuccino,2
T0056129,2025-04-01,I003,Cappuccino,1
T0056130,2025-04-01,I003,Cappuccino,1
T0056131,2025-04-01,I003,Cappuccino,1
T0056132,2025-04-01,I003,Cappuccino,1
T0056133,2025-04-01,I003,Cappuccino,3
T0056134,2025-04-01,I003,Cappuccino,1
T0056135,2025-04-01,I003,Cappuccino,1
T0056136,2025-04-01,I003,Cappuccino,1
T0056137,2025-04-01,I003,Cappuccino,1
T0056138,2025-04-01,I003,Cappuccino,1
T0056139,2025-04-01,I004,Americano,2
T0056140,2025-04-01,I004,Americano,2
T0056141,2025-04-01,I004,Americano,1
T0056142,2025-04-01,I004,Americano,1
T0056143,2025-04-01,I004,Americano,1
T0056144,2025-04-01,I004,Americano,1
T0056145,2025-04-01,I004,Americano,1
T0056146,2025-04-01,I004,Americano,1
T0056147,2025-04-01,I004,Americano,1
T0056148,2025-04-01,I004,Americano,1
T0056149,2025-04-01,I004,Americano,1
T0056150,2025-04-01,I004,Americano,1
T0056151,2025-04-01,I004,Americano,1
T0056152,2025-04-01,I004,Americano,1
T0056153,2025-04-01,I004,Americano,1
T0056154,2025-04-01,I005,Green Tea,1
T0056155,2025-04-01,I005,Green Tea,1
T0056156,2025-04-01,I005,Green Tea,1
T0056157,2025-04-01,I005,Green Tea,1
T0056158,2025-04-01,I005,Green Tea,1
T0056159,2025-04-01,I005,Green Tea,2
T0056160,2025-04-01,I006,Muffin,1
T0056161,2025-04-01,I006,Muffin,1
T0056162,2025-04-01,I006,Muffin,1
T0056163,2025-04-01,I006,Muffin,1
T0056164,2025-04-01,I006,Muffin,1
T0056165,2025-04-01,I006,Muffin,2
T0056166,2025-04-01,I006,Muffin,2
T0056167,2025-04-01,I006,Muffin,1
T0056168,2025-04-01,I006,Muffin,2
T0056169,2025-04-01,I006,Muffin,3
T0056170,2025-04-01,I006,Muffin,1
T0056171,2025-04-01,I006,Muffin,1
T0056172,2025-04-01,I006,Muffin,2
T0056173,2025-04-01,I007,Croissant,2
T0056174,2025-04-01,I007,Croissant,1
T0056175,2025-04-01,I007,Croissant,3
T0056176,2025-04-01,I007,Croissant,1
T0056177,2025-04-01,I007,Croissant,1
T0056178,2025-04-01,I007,Croissant,1
T0056179,2025-04-01,I007,Croissant,1
T0056180,2025-04-01,I007,Croissant,1
T0056181,2025-04-01,I007,Croissant,1
T0056182,2025-04-01,I007,Croissant,1
T0056183,2025-04-01,I007,Croissant,1
T0056184,2025-04-01,I007,Croissant,1
T0056185,2025-04-01,I008,Sandwich,1
T0056186,2025-04-01,I008,Sandwich,1
T0056187,2025-04-01,I008,Sandwich,1
T0056188,2025-04-01,I008,Sandwich,1
T0056189,2025-04-01,I008,Sandwich,1
T0056190,2025-04-01,I008,Sandwich,1
T0056191,2025-04-01,I008,Sandwich,2
T0056192,2025-04-01,I008,Sandwich,1
T0056193,2025-04-02,I001,Espresso,2
T0056194,2025-04-02,I001,Espresso,1
T0056195,2025-04-02,I001,Espresso,1
T0056196,2025-04-02,I001,Espresso,1
T0056197,2025-04-02,I001,Espresso,2
T0056198,2025-04-02,I001,Espresso,1
T0056199,2025-04-02,I001,Espresso,1
T0056200,2025-04-02,I001,Espresso,1
T0056201,2025-04-02,I001,Espresso,3
T0056202,2025-04-02,I001,Espresso,1
T0056203,2025-04-02,I001,Espresso,1
T0056204,2025-04-02,I001,Espresso,1
T0056205,2025-04-02,I001,Espresso,1
T0056206,2025-04-02,I001,Espresso,1
T0056207,2025-04-02,I001,Espresso,2
T0056208,2025-04-02,I001,Espresso,1
T0056209,2025-04-02,I001,Espresso,1
T0056210,2025-04-02,I002,Latte,1
T0056211,2025-04-02,I002,Latte,1
T0056212,2025-04-02,I002,Latte,2
T0056213,2025-04-02,I002,Latte,2
T0056214,2025-04-02,I002,Latte,1
T0056215,2025-04-02,I002,Latte,2
T0056216,2025-04-02,I002,Latte,1
T0056217,2025-04-02,I002,Latte,1
T0056218,2025-04-02,I002,Latte,3
T0056219,2025-04-02,I002,Latte,1
T0056220,2025-04-02,I002,Latte,1
T0056221,2025-04-02,I002,Latte,2
T0056222,2025-04-02,I002,Latte,1
T0056223,2025-04-02,I002,Latte,1
T0056224,2025-04-02,I002,Latte,2
T0056225,2025-04-02,I002,Latte,1
T0056226,2025-04-02,I002,Latte,1
T0056227,2025-04-02,I002,Latte,3
T0056228,2025-04-02,I002,Latte,1
T0056229,2025-04-02,I002,Latte,1
T0056230,2025-04-02,I002,Latte,1
T0056231,2025-04-02,I002,Latte,2
T0056232,2025-04-02,I002,Latte,3
T0056233,2025-04-02,I002,Latte,1
T0056234,2025-04-02,I002,Latte,1
T0056235,2025-04-02,I002,Latte,2
T0056236,2025-04-02,I003,Cappuccino,2
T0056237,2025-04-02,I003,Cappuccino,1
T0056238,2025-04-02,I003,Cappuccino,1
T0056239,2025-04-02,I003,Cappuccino,1
T0056240,2025-04-02,I003,Cappuccino,2
T0056241,2025-04-02,I003,Cappuccino,3
T0056242,2025-04-02,I003,Cappuccino,1
T0056243,2025-04-02,I003,Cappuccino,1
T0056244,2025-04-02,I003,Cappuccino,1
T0056245,2025-04-02,I003,Cappuccino,3
T0056246,2025-04-02,I003,Cappuccino,1
T0056247,2025-04-02,I003,Cappuccino,2
T0056248,2025-04-02,I003,Cappuccino,1
T0056249,2025-04-02,I003,Cappuccino,2
T0056250,2025-04-02,I003,Cappuccino,1
T0056251,2025-04-02,I003,Cappuccino,1
T0056252,2025-04-02,I003,Cappuccino,2
T0056253,2025-04-02,I003,Cappuccino,1
T0056254,2025-04-02,I003,Cappuccino,1
T0056255,2025-04-02,I004,Americano,3
T0056256,2025-04-02,I004,Americano,1
T0056257,2025-04-02,I004,Americano,2
T0056258,2025-04-02,I004,Americano,1
T0056259,2025-04-02,I004,Americano,1
T0056260,2025-04-02,I004,Americano,2
T0056261,2025-04-02,I004,Americano,2
T0056262,2025-04-02,I004,Americano,1
T0056263,2025-04-02,I004,Americano,1
T0056264,2025-04-02,I004,Americano,1
T0056265,2025-04-02,I004,Americano,1
T0056266,2025-04-02,I005,Green Tea,3
T0056267,2025-04-02,I005,Green Tea,1
T0056268,2025-04-02,I005,Green Tea,1
T0056269,2025-04-02,I005,Green Tea,1
T0056270,2025-04-02,I005,Green Tea,1
T0056271,2025-04-02,I005,Green Tea,1
T0056272,2025-04-02,I005,Green Tea,1
T0056273,2025-04-02,I006,Muffin,1
T0056274,2025-04-02,I006,Muffin,1
T0056275,2025-04-02,I006,Muffin,2
T0056276,2025-04-02,I006,Muffin,1
T0056277,2025-04-02,I006,Muffin,3
T0056278,2025-04-02,I006,Muffin,1
T0056279,2025-04-02,I006,Muffin,1
T0056280,2025-04-02,I006,Muffin,1
T0056281,2025-04-02,I006,Muffin,3
T0056282,2025-04-02,I006,Muffin,1
T0056283,2025-04-02,I006,Muffin,1
T0056284,2025-04-02,I007,Croissant,2
T0056285,2025-04-02,I007,Croissant,3
T0056286,2025-04-02,I007,Croissant,3
T0056287,2025-04-02,I007,Croissant,1
T0056288,2025-04-02,I007,Croissant,1
T0056289,2025-04-02,I007,Croissant,1
T0056290,2025-04-02,I007,Croissant,1
T0056291,2025-04-02,I007,Croissant,1
T0056292,2025-04-02,I007,Croissant,2
T0056293,2025-04-02,I007,Croissant,1
T0056294,2025-04-02,I007,Croissant,2
T0056295,2025-04-02,I007,Croissant,1
T0056296,2025-04-02,I008,Sandwich,1
T0056297,2025-04-02,I008,Sandwich,1
T0056298,2025-04-02,I008,Sandwich,1
T0056299,2025-04-02,I008,Sandwich,3
T0056300,2025-04-02,I008,Sandwich,3
T0056301,2025-04-02,I008,Sandwich,1
T0056302,2025-04-02,I008,Sandwich,1
