transaction_id,date,item_id,item_name,quantity
T0030434,2024-08-01,I001,Espresso,2
T0030435,2024-08-01,I001,Espresso,2
T0030436,2024-08-01,I001,Espresso,3
T0030437,2024-08-01,I001,Espresso,2
T0030438,2024-08-01,I001,Espresso,2
T0030439,2024-08-01,I001,Espresso,1
T0030440,2024-08-01,I001,Espresso,1
T0030441,2024-08-01,I001,Espresso,1
T0030442,2024-08-01,I001,Espresso,1
T0030443,2024-08-01,I001,Espresso,2
T0030444,2024-08-01,I001,Espresso,1
T0030445,2024-08-01,I001,Espresso,1
T0030446,2024-08-01,I001,Espresso,1
T0030447,2024-08-01,I001,Espresso,1
T0030448,2024-08-01,I001,Espresso,1
T0030449,2024-08-01,I001,Espresso,1
T0030450,2024-08-01,I001,Espresso,2
T0030451,2024-08-01,I001,Espresso,1
T0030452,2024-08-01,I001,Espresso,3
T0030453,2024-08-01,I001,Espresso,1
T0030454,2024-08-01,I001,Espresso,1
T0030455,2024-08-01,I001,Espresso,1
T0030456,2024-08-01,I001,Espresso,1
T0030457,2024-08-01,I001,Espresso,1
T0030458,2024-08-01,I001,Espresso,1
T0030459,2024-08-01,I001,Espresso,1
T0030460,2024-08-01,I001,Espresso,2
T0030461,2024-08-01,I001,Espresso,1
T0030462,2024-08-01,I001,Espresso,1
T0030463,2024-08-01,I001,Espresso,1
T0030464,2024-08-01,I001,Espresso,1
T0030465,2024-08-01,I001,Espresso,1
T0030466,2024-08-01,I001,Espresso,2
T0030467,2024-08-01,I001,Espresso,1
T0030468,2024-08-01,I001,Espresso,3
T0030469,2024-08-01,I001,Espresso,1
T0030470,2024-08-01,I002,Latte,1
T0030471,2024-08-01,I002,Latte,2
T0030472,2024-08-01,I002,Latte,1
T0030473,2024-08-01,I002,Latte,1
T0030474,2024-08-01,I002,Latte,1
T0030475,2024-08-01,I002,Latte,2
T0030476,2024-08-01,I002,Latte,1
T0030477,2024-08-01,I002,Latte,1
T0030478,2024-08-01,I002,Latte,3
T0030479,2024-08-01,I002,Latte,1
T0030480,2024-08-01,I002,Latte,1
T0030481,2024-08-01,I002,Latte,3
T0030482,2024-08-01,I002,Latte,1
T0030483,2024-08-01,I002,Latte,1
T0030484,2024-08-01,I002,Latte,2
T0030485,2024-08-01,I002,Latte,1
T0030486,2024-08-01,I002,Latte,1
T0030487,2024-08-01,I002,Latte,1
T0030488,2024-08-01,I002,Latte,2
T0030489,2024-08-01,I002,Latte,1
T0030490,2024-08-01,I002,Latte,1
T0030491,2024-08-01,I002,Latte,1
T0030492,2024-08-01,I002,Latte,1
T0030493,2024-08-01,I002,Latte,1
T0030494,2024-08-01,I002,Latte,1
T0030495,2024-08-01,I002,Latte,1
T0030496,2024-08-01,I002,Latte,1
T0030497,2024-08-01,I002,Latte,1
T0030498,2024-08-01,I002,Latte,1
T0030499,2024-08-01,I002,Latte,1
T0030500,2024-08-01,I002,Latte,1
T0030501,2024-08-01,I002,Latte,1
T0030502,2024-08-01,I002,Latte,1
T0030503,2024-08-01,I002,Latte,1
T0030504,2024-08-01,I002,Latte,1
T0030505,2024-08-01,I002,Latte,3
T0030506,2024-08-01,I002,Latte,1
T0030507,2024-08-01,I002,Latte,1
T0030508,2024-08-01,I002,Latte,2
T0030509,2024-08-01,I002,Latte,1
T0030510,2024-08-01,I002,Latte,2
T0030511,2024-08-01,I002,Latte,3
T0030512,2024-08-01,I002,Latte,1
T0030513,2024-08-01,I002,Latte,2
T0030514,2024-08-01,I002,Latte,1
T0030515,2024-08-01,I002,Latte,1
T0030516,2024-08-01,I002,Latte,1
T0030517,2024-08-01,I002,Latte,1
T0030518,2024-08-01,I002,Latte,1
T0030519,2024-08-01,I002,Latte,1
T0030520,2024-08-01,I002,Latte,2
T0030521,2024-08-01,I002,Latte,1
T0030522,2024-08-01,I002,Latte,1
T0030523,2024-08-01,I002,Latte,1
T0030524,2024-08-01,I002,Latte,1
T0030525,2024-08-01,I002,Latte,1
T0030526,2024-08-01,I002,Latte,2
T0030527,2024-08-01,I002,Latte,1
T0030528,2024-08-01,I002,Latte,1
T0030529,2024-08-01,I003,Cappuccino,1
T0030530,2024-08-01,I003,Cappuccino,1
T0030531,2024-08-01,I003,Cappuccino,1
T0030532,2024-08-01,I003,Cappuccino,1
T0030533,2024-08-01,I003,Cappuccino,1
T0030534,2024-08-01,I003,Cappuccino,1
T0030535,2024-08-01,I003,Cappuccino,2
T0030536,2024-08-01,I003,Cappuccino,2
T0030537,2024-08-01,I003,Cappuccino,1
T0030538,2024-08-01,I003,Cappuccino,2
T0030539,2024-08-01,I003,Cappuccino,2
T0030540,2024-08-01,I003,Cappuccino,1
T0030541,2024-08-01,I003,Cappuccino,1
T0030542,2024-08-01,I003,Cappuccino,1
T0030543,2024-08-01,I003,Cappuccino,1
T0030544,2024-08-01,I003,Cappuccino,1
T0030545,2024-08-01,I003,Cappuccino,1
T0030546,2024-08-01,I003,Cappuccino,1
T0030547,2024-08-01,I003,Cappuccino,1
T0030548,2024-08-01,I003,Cappuccino,1
T0030549,2024-08-01,I003,Cappuccino,1
T0030550,2024-08-01,I003,Cappuccino,1
T0030551,2024-08-01,I003,Cappuccino,1
T0030552,2024-08-01,I003,Cappuccino,1
T0030553,2024-08-01,I003,Cappuccino,2
T0030554,2024-08-01,I003,Cappuccino,1
T0030555,2024-08-01,I003,Cappuccino,1
T0030556,2024-08-01,I003,Cappuccino,1
T0030557,2024-08-01,I003,Cappuccino,1
T0030558,2024-08-01,I003,Cappuccino,1
T0030559,2024-08-01,I003,Cappuccino,1
T0030560,2024-08-01,I004,Americano,2
T0030561,2024-08-01,I004,Americano,1
T0030562,2024-08-01,I004,Americano,1
T0030563,2024-08-01,I004,Americano,2
T0030564,2024-08-01,I004,Americano,2
T0030565,2024-08-01,I004,Americano,1
T0030566,2024-08-01,I004,Americano,1
T0030567,2024-08-01,I004,Americano,1
T0030568,2024-08-01,I004,Americano,1
T0030569,2024-08-01,I004,Americano,1
T0030570,2024-08-01,I004,Americano,3
T0030571,2024-08-01,I004,Americano,1
T0030572,2024-08-01,I004,Americano,3
T0030573,2024-08-01,I004,Americano,1
T0030574,2024-08-01,I004,Americano,2
T0030575,2024-08-01,I004,Americano,1
T0030576,2024-08-01,I004,Americano,1
T0030577,2024-08-01,I004,Americano,2
T0030578,2024-08-01,I004,Americano,1
T0030579,2024-08-01,I004,Americano,1
T0030580,2024-08-01,I004,Americano,1
T0030581,2024-08-01,I005,Green Tea,1
T0030582,2024-08-01,I005,Green Tea,1
T0030583,2024-08-01,I005,Green Tea,1
T0030584,2024-08-01,I005,Green Tea,2
T0030585,2024-08-01,I005,Green Tea,1
T0030586,2024-08-01,I005,Green Tea,1
T0030587,2024-08-01,I005,Green Tea,1
T0030588,2024-08-01,I005,Green Tea,2
T0030589,2024-08-01,I005,Green Tea,1
T0030590,2024-08-01,I005,Green Tea,1
T0030591,2024-08-01,I006,Muffin,1
T0030592,2024-08-01,I006,Muffin,1
T0030593,2024-08-01,I006,Muffin,1
T0030594,2024-08-01,I006,Muffin,1
T0030595,2024-08-01,I006,Muffin,2
T0030596,2024-08-01,I006,Muffin,1
T0030597,2024-08-01,I006,Muffin,1
T0030598,2024-08-01,I006,Muffin,1
T0030599,2024-08-01,I006,Muffin,1
T0030600,2024-08-01,I007,Croissant,1
T0030601,2024-08-01,I007,Croissant,1
T0030602,2024-08-01,I007,Croissant,1
T0030603,2024-08-01,I007,Croissant,1
T0030604,2024-08-01,I007,Croissant,1
T0030605,2024-08-01,I007,Croissant,1
T0030606,2024-08-01,I007,Croissant,1
T0030607,2024-08-01,I007,Croissant,1
T0030608,2024-08-01,I007,Croissant,2
T0030609,2024-08-01,I007,Croissant,1
T0030610,2024-08-01,I007,Croissant,1
T0030611,2024-08-01,I008,Sandwich,1
T0030612,2024-08-01,I008,Sandwich,1
T0030613,2024-08-01,I008,Sandwich,2
T0030614,2024-08-01,I008,Sandwich,2
T0030615,2024-08-01,I008,Sandwich,2
T0030616,2024-08-01,I008,Sandwich,1
T0030617,2024-08-01,I008,Sandwich,1
T0030618,2024-08-01,I008,Sandwich,1
T0030619,2024-08-01,I008,Sandwich,3
T0030620,2024-08-02,I001,Espresso,2
T0030621,2024-08-02,I001,Espresso,2
T0030622,2024-08-02,I001,Espresso,1
T0030623,2024-08-02,I001,Espresso,1
T0030624,2024-08-02,I001,Espresso,1
T0030625,2024-08-02,I001,Espresso,2
T0030626,2024-08-02,I001,Espresso,1
T0030627,2024-08-02,I001,Espresso,3
T0030628,2024-08-02,I001,Espresso,1
T0030629,2024-08-02,I001,Espresso,1
T0030630,2024-08-02,I001,Espresso,2
T0030631,2024-08-02,I001,Espresso,1
T0030632,2024-08-02,I001,Espresso,1
T0030633,2024-08-02,I001,Espresso,2
T0030634,2024-08-02,I001,Espresso,1
T0030635,2024-08-02,I001,Espresso,2
T0030636,2024-08-02,I001,Espresso,1
T0030637,2024-08-02,I001,Espresso,2
T0030638,2024-08-02,I001,Espresso,1
T0030639,2024-08-02,I001,Espresso,1
T0030640,2024-08-02,I001,Espresso,1
T0030641,2024-08-02,I001,Espresso,1
T0030642,2024-08-02,I001,Espresso,1
T0030643,2024-08-02,I001,Espresso,3
T0030644,2024-08-02,I001,Espresso,2
T0030645,2024-08-02,I001,Espresso,3
T0030646,2024-08-02,I001,Espresso,1
T0030647,2024-08-02,I001,Espresso,1
T0030648,2024-08-02,I001,Espresso,1
T0030649,2024-08-02,I001,Espresso,3
T0030650,2024-08-02,I001,Espresso,1
T0030651,2024-08-02,I001,Espresso,1
T0030652,2024-08-02,I001,Espresso,1
T0030653,2024-08-02,I001,Espresso,1
T0030654,2024-08-02,I002,Latte,2
T0030655,2024-08-02,I002,Latte,1
T0030656,2024-08-02,I002,Latte,2
T0030657,2024-08-02,I002,Latte,1
T0030658,2024-08-02,I002,Latte,1
T0030659,2024-08-02,I002,Latte,1
T0030660,2024-08-02,I002,Latte,1
T0030661,2024-08-02,I002,Latte,1
T0030662,2024-08-02,I002,Latte,1
T0030663,2024-08-02,I002,Latte,1
T0030664,2024-08-02,I002,Latte,1
T0030665,2024-08-02,I002,Latte,1
T0030666,2024-08-02,I002,Latte,1
T0030667,2024-08-02,I002,Latte,2
T0030668,2024-08-02,I002,Latte,3
T0030669,2024-08-02,I002,Latte,1
T0030670,2024-08-02,I002,Latte,1
T0030671,2024-08-02,I002,Latte,1
T0030672,2024-08-02,I002,Latte,1
T0030673,2024-08-02,I002,Latte,2
T0030674,2024-08-02,I002,Latte,1
T0030675,2024-08-02,I002,Latte,1
T0030676,2024-08-02,I002,Latte,1
T0030677,2024-08-02,I002,Latte,2
T0030678,2024-08-02,I002,Latte,1
T0030679,2024-08-02,I002,Latte,3
T0030680,2024-08-02,I002,Latte,2
T0030681,2024-08-02,I002,Latte,1
T0030682,2024-08-02,I002,Latte,1
T0030683,2024-08-02,I002,Latte,1
T0030684,2024-08-02,I002,Latte,1
T0030685,2024-08-02,I002,Latte,1
T0030686,2024-08-02,I002,Latte,1
T0030687,2024-08-02,I002,Latte,1
T0030688,2024-08-02,I002,Latte,1
T0030689,2024-08-02,I002,Latte,2
T0030690,2024-08-02,I002,Latte,3
T0030691,2024-08-02,I002,Latte,1
T0030692,2024-08-02,I002,Latte,1
T0030693,2024-08-02,I002,Latte,1
T0030694,2024-08-02,I002,Latte,2
T0030695,2024-08-02,I002,Latte,3
T0030696,2024-08-02,I002,Latte,1
T0030697,2024-08-02,I002,Latte,1
T0030698,2024-08-02,I002,Latte,1
T0030699,2024-08-02,I002,Latte,1
T0030700,2024-08-02,I002,Latte,1
T0030701,2024-08-02,I002,Latte,1
T0030702,2024-08-02,I002,Latte,3
T0030703,2024-08-02,I002,Latte,1
T0030704,2024-08-02,I002,Latte,2
T0030705,2024-08-02,I002,Latte,1
T0030706,2024-08-02,I002,Latte,1
T0030707,2024-08-02,I003,Cappuccino,2
T0030708,2024-08-02,I003,Cappuccino,3
T0030709,2024-08-02,I003,Cappuccino,2
T0030710,2024-08-02,I003,Cappuccino,2
T0030711,2024-08-02,I003,Cappuccino,2
T0030712,2024-08-02,I003,Cappuccino,1
T0030713,2024-08-02,I003,Cappuccino,2
T0030714,2024-08-02,I003,Cappuccino,2
T0030715,2024-08-02,I003,Cappuccino,1
T0030716,2024-08-02,I003,Cappuccino,1
T0030717,2024-08-02,I003,Cappuccino,2
T0030718,2024-08-02,I003,Cappuccino,2
T0030719,2024-08-02,I003,Cappuccino,1
