transaction_id,date,item_id,item_name,quantity
T0046475,2024-12-01,I001,Espresso,2
T0046476,2024-12-01,I001,Espresso,1
T0046477,2024-12-01,I001,Espresso,1
T0046478,2024-12-01,I001,Espresso,1
T0046479,2024-12-01,I002,Latte,1
T0046480,2024-12-01,I002,Latte,1
T0046481,2024-12-01,I002,Latte,2
T0046482,2024-12-01,I002,Latte,2
T0046483,2024-12-01,I002,Latte,1
T0046484,2024-12-01,I003,Cappuccino,2
T0046485,2024-12-01,I003,Cappuccino,2
T0046486,2024-12-01,I003,Cappuccino,1
T0046487,2024-12-01,I003,Cappuccino,1
T0046488,2024-12-01,I003,Cappuccino,2
T0046489,2024-12-01,I003,Cappuccino,1
T0046490,2024-12-01,I003,Cappuccino,1
T0046491,2024-12-01,I003,Cappuccino,1
T0046492,2024-12-01,I003,Cappuccino,3
T0046493,2024-12-01,I003,Cappuccino,3
T0046494,2024-12-01,I003,Cappuccino,1
T0046495,2024-12-01,I003,Cappuccino,1
T0046496,2024-12-01,I004,Americano,1
T0046497,2024-12-01,I004,Americano,2
T0046498,2024-12-01,I004,Americano,2
T0046499,2024-12-01,I004,Americano,2
T0046500,2024-12-01,I004,Americano,1
T0046501,2024-12-01,I004,Americano,2
T0046502,2024-12-01,I004,Americano,1
T0046503,2024-12-01,I005,Green Tea,1
T0046504,2024-12-01,I005,Green Tea,1
T0046505,2024-12-01,I005,Green Tea,2
T0046506,2024-12-01,I005,Green Tea,1
T0046507,2024-12-01,I005,Green Tea,3
T0046508,2024-12-01,I005,Green Tea,1
T0046509,2024-12-01,I005,Green Tea,1
T0046510,2024-12-01,I006,Muffin,1
T0046511,2024-12-01,I006,Muffin,1
T0046512,2024-12-01,I006,Muffin,2
T0046513,2024-12-01,I006,Muffin,1
T0046514,2024-12-01,I006,Muffin,1
T0046515,2024-12-01,I006,Muffin,1
T0046516,2024-12-01,I006,Muffin,1
T0046517,2024-12-01,I006,Muffin,3
T0046518,2024-12-01,I006,Muffin,2
T0046519,2024-12-01,I006,Muffin,1
T0046520,2024-12-01,I006,Muffin,2
T0046521,2024-12-01,I006,Muffin,3
T0046522,2024-12-01,I006,Muffin,2
T0046523,2024-12-01,I007,Croissant,1
T0046524,2024-12-01,I007,Croissant,3
T0046525,2024-12-01,I007,Croissant,1
T0046526,2024-12-01,I007,Croissant,1
T0046527,2024-12-01,I007,Croissant,1
T0046528,2024-12-01,I007,Croissant,1
T0046529,2024-12-01,I007,Croissant,3
T0046530,2024-12-01,I007,Croissant,2
T0046531,2024-12-01,I007,Croissant,2
T0046532,2024-12-01,I007,Croissant,1
T0046533,2024-12-01,I007,Croissant,3
T0046534,2024-12-01,I007,Croissant,1
T0046535,2024-12-01,I007,Croissant,1
T0046536,2024-12-01,I007,Croissant,1
T0046537,2024-12-01,I007,Croissant,1
T0046538,2024-12-01,I007,Croissant,1
T0046539,2024-12-01,I007,Croissant,3
T0046540,2024-12-01,I008,Sandwich,1
T0046541,2024-12-01,I008,Sandwich,1
T0046542,2024-12-01,I008,Sandwich,1
T0046543,2024-12-01,I008,Sandwich,2
T0046544,2024-12-01,I008,Sandwich,1
T0046545,2024-12-01,I008,Sandwich,1
T0046546,2024-12-01,I008,Sandwich,1
T0046547,2024-12-01,I008,Sandwich,1
T0046548,2024-12-01,I008,Sandwich,1
T0046549,2024-12-01,I008,Sandwich,1
T0046550,2024-12-01,I008,Sandwich,2
T0046551,2024-12-01,I008,Sandwich,1
T0046552,2024-12-01,I008,Sandwich,1
T0046553,2024-12-01,I008,Sandwich,2
T0046554,2024-12-01,I008,Sandwich,2
T0046555,2024-12-01,I008,Sandwich,1
T0046556,2024-12-01,I008,Sandwich,2
T0046557,2024-12-01,I008,Sandwich,3
T0046558,2024-12-01,I008,Sandwich,1
T0046559,2024-12-01,I008,Sandwich,2
T0046560,2024-12-02,I001,Espresso,2
T0046561,2024-12-02,I001,Espresso,2
T0046562,2024-12-02,I001,Espresso,1
T0046563,2024-12-02,I002,Latte,1
T0046564,2024-12-02,I002,Latte,1
T0046565,2024-12-02,I002,Latte,1
T0046566,2024-12-02,I003,Cappuccino,2
T0046567,2024-12-02,I003,Cappuccino,1
T0046568,2024-12-02,I003,Cappuccino,1
T0046569,2024-12-02,I004,Americano,1
T0046570,2024-12-02,I004,Americano,1
T0046571,2024-12-02,I005,Green Tea,1
T0046572,2024-12-02,I005,Green Tea,2
T0046573,2024-12-02,I005,Green Tea,2
T0046574,2024-12-02,I005,Green Tea,1
T0046575,2024-12-02,I005,Green Tea,1
T0046576,2024-12-02,I006,Muffin,1
T0046577,2024-12-02,I006,Muffin,1
T0046578,2024-12-02,I006,Muffin,3
T0046579,2024-12-02,I006,Muffin,1
T0046580,2024-12-02,I006,Muffin,2
T0046581,2024-12-02,I006,Muffin,1
T0046582,2024-12-02,I006,Muffin,1
T0046583,2024-12-02,I006,Muffin,1
T0046584,2024-12-02,I006,Muffin,1
T0046585,2024-12-02,I007,Croissant,1
T0046586,2024-12-02,I007,Croissant,1
T0046587,2024-12-02,I007,Croissant,1
T0046588,2024-12-02,I007,Croissant,2
T0046589,2024-12-02,I007,Croissant,2
T0046590,2024-12-02,I007,Croissant,1
T0046591,2024-12-02,I007,Croissant,2
T0046592,2024-12-02,I007,Croissant,1
T0046593,2024-12-02,I007,Croissant,1
T0046594,2024-12-02,I007,Croissant,1
T0046595,2024-12-02,I008,Sandwich,1
T0046596,2024-12-02,I008,Sandwich,1
T0046597,2024-12-02,I008,Sandwich,1
T0046598,2024-12-02,I008,Sandwich,2
T0046599,2024-12-02,I008,Sandwich,1
T0046600,2024-12-02,I008,Sandwich,1
T0046601,2024-12-02,I008,Sandwich,1
T0046602,2024-12-02,I008,Sandwich,1
T0046603,2024-12-02,I008,Sandwich,1
T0046604,2024-12-02,I008,Sandwich,1
T0046605,2024-12-02,I008,Sandwich,1
T0046606,2024-12-02,I008,Sandwich,1
T0046607,2024-12-02,I008,Sandwich,1
T0046608,2024-12-02,I008,Sandwich,1
T0046609,2024-12-03,I001,Espresso,2
T0046610,2024-12-03,I001,Espresso,1
T0046611,2024-12-03,I001,Espresso,1
T0046612,2024-12-03,I001,Espresso,2
T0046613,2024-12-03,I001,Espresso,1
T0046614,2024-12-03,I001,Espresso,1
T0046615,2024-12-03,I001,Espresso,1
T0046616,2024-12-03,I001,Espresso,2
T0046617,2024-12-03,I002,Latte,1
T0046618,2024-12-03,I002,Latte,1
T0046619,2024-12-03,I002,Latte,1
T0046620,2024-12-03,I003,Cappuccino,1
T0046621,2024-12-03,I003,Cappuccino,2
T0046622,2024-12-03,I003,Cappuccino,1
T0046623,2024-12-03,I003,Cappuccino,1
T0046624,2024-12-03,I003,Cappuccino,1
T0046625,2024-12-03,I003,Cappuccino,1
T0046626,2024-12-03,I003,Cappuccino,1
T0046627,2024-12-03,I004,Americano,2
T0046628,2024-12-03,I004,Americano,2
T0046629,2024-12-03,I004,Americano,3
T0046630,2024-12-03,I004,Americano,1
T0046631,2024-12-03,I004,Americano,1
T0046632,2024-12-03,I005,Green Tea,1
T0046633,2024-12-03,I005,Green Tea,1
T0046634,2024-12-03,I005,Green Tea,1
T0046635,2024-12-03,I005,Green Tea,2
T0046636,2024-12-03,I005,Green Tea,2
T0046637,2024-12-03,I005,Green Tea,1
T0046638,2024-12-03,I006,Muffin,1
T0046639,2024-12-03,I006,Muffin,2
T0046640,2024-12-03,I006,Muffin,1
T0046641,2024-12-03,I006,Muffin,2
T0046642,2024-12-03,I006,Muffin,1
T0046643,2024-12-03,I006,Muffin,2
T0046644,2024-12-03,I006,Muffin,1
T0046645,2024-12-03,I006,Muffin,1
T0046646,2024-12-03,I006,Muffin,3
T0046647,2024-12-03,I006,Muffin,2
T0046648,2024-12-03,I007,Croissant,1
T0046649,2024-12-03,I007,Croissant,1
T0046650,2024-12-03,I007,Croissant,3
T0046651,2024-12-03,I007,Croissant,3
T0046652,2024-12-03,I007,Croissant,1
T0046653,2024-12-03,I007,Croissant,1
T0046654,2024-12-03,I007,Croissant,1
T0046655,2024-12-03,I007,Croissant,1
T0046656,2024-12-03,I007,Croissant,1
T0046657,2024-12-03,I007,Croissant,1
T0046658,2024-12-03,I007,Croissant,3
T0046659,2024-12-03,I007,Croissant,1
T0046660,2024-12-03,I008,Sandwich,1
T0046661,2024-12-03,I008,Sandwich,1
T0046662,2024-12-03,I008,Sandwich,3
T0046663,2024-12-03,I008,Sandwich,1
T0046664,2024-12-03,I008,Sandwich,1
T0046665,2024-12-03,I008,Sandwich,1
T0046666,2024-12-03,I008,Sandwich,1
T0046667,2024-12-03,I008,Sandwich,3
T0046668,2024-12-03,I008,Sandwich,1
T0046669,2024-12-03,I008,Sandwich,1
T0046670,2024-12-03,I008,Sandwich,1
T0046671,2024-12-03,I008,Sandwich,2
T0046672,2024-12-03,I008,Sandwich,1
T0046673,2024-12-03,I008,Sandwich,3
T0046674,2024-12-04,I001,Espresso,1
T0046675,2024-12-04,I001,Espresso,1
T0046676,2024-12-04,I001,Espresso,1
T0046677,2024-12-04,I001,Espresso,1
T0046678,2024-12-04,I001,Espresso,1
T0046679,2024-12-04,I001,Espresso,1
T0046680,2024-12-04,I001,Espresso,1
T0046681,2024-12-04,I001,Espresso,1
T0046682,2024-12-04,I002,Latte,1
T0046683,2024-12-04,I002,Latte,1
T0046684,2024-12-04,I002,Latte,1
