transaction_id,date,item_id,item_name,quantity
T0002012,2026-02-01,I001,Espresso,1
T0002013,2026-02-01,I001,Espresso,1
T0002014,2026-02-01,I001,Espresso,1
T0002015,2026-02-01,I001,Espresso,1
T0002016,2026-02-01,I001,Espresso,1
T0002017,2026-02-01,I001,Espresso,2
T0002018,2026-02-01,I001,Espresso,2
T0002019,2026-02-01,I001,Espresso,1
T0002020,2026-02-01,I001,Espresso,1
T0002021,2026-02-01,I001,Espresso,1
T0002022,2026-02-01,I001,Espresso,1
T0002023,2026-02-01,I001,Espresso,1
T0002024,2026-02-01,I001,Espresso,1
T0002025,2026-02-01,I001,Espresso,1
T0002026,2026-02-01,I001,Espresso,3
T0002027,2026-02-01,I001,Espresso,1
T0002028,2026-02-01,I001,Espresso,1
T0002029,2026-02-01,I002,Latte,1
T0002030,2026-02-01,I002,Latte,1
T0002031,2026-02-01,I002,Latte,1
T0002032,2026-02-01,I002,Latte,1
T0002033,2026-02-01,I002,Latte,1
T0002034,2026-02-01,I002,Latte,1
T0002035,2026-02-01,I002,Latte,3
T0002036,2026-02-01,I002,Latte,2
T0002037,2026-02-01,I002,Latte,1
T0002038,2026-02-01,I002,Latte,1
T0002039,2026-02-01,I002,Latte,1
T0002040,2026-02-01,I002,Latte,1
T0002041,2026-02-01,I002,Latte,1
T0002042,2026-02-01,I002,Latte,1
T0002043,2026-02-01,I002,Latte,1
T0002044,2026-02-01,I002,Latte,1
T0002045,2026-02-01,I002,Latte,1
T0002046,2026-02-01,I002,Latte,3
T0002047,2026-02-01,I002,Latte,2
T0002048,2026-02-01,I002,Latte,2
T0002049,2026-02-01,I002,Latte,1
T0002050,2026-02-01,I002,Latte,2
T0002051,2026-02-01,I002,Latte,1
T0002052,2026-02-01,I002,Latte,2
T0002053,2026-02-01,I002,Latte,1
T0002054,2026-02-01,I002,Latte,2
T0002055,2026-02-01,I003,Cappuccino,3
T0002056,2026-02-01,I003,Cappuccino,1
T0002057,2026-02-01,I003,Cappuccino,1
T0002058,2026-02-01,I003,Cappuccino,3
T0002059,2026-02-01,I003,Cappuccino,1
T0002060,2026-02-01,I003,Cappuccino,2
T0002061,2026-02-01,I003,Cappuccino,1
T0002062,2026-02-01,I003,Cappuccino,1
T0002063,2026-02-01,I003,Cappuccino,1
T0002064,2026-02-01,I003,Cappuccino,1
T0002065,2026-02-01,I003,Cappuccino,2
T0002066,2026-02-01,I003,Cappuccino,1
T0002067,2026-02-01,I003,Cappuccino,1
T0002068,2026-02-01,I003,Cappuccino,1
T0002069,2026-02-01,I003,Cappuccino,1
T0002070,2026-02-01,I003,Cappuccino,2
T0002071,2026-02-01,I003,Cappuccino,3
T0002072,2026-02-01,I003,Cappuccino,1
T0002073,2026-02-01,I003,Cappuccino,2
T0002074,2026-02-01,I004,Americano,2
T0002075,2026-02-01,I004,Americano,1
T0002076,2026-02-01,I004,Americano,3
T0002077,2026-02-01,I004,Americano,1
T0002078,2026-02-01,I004,Americano,1
T0002079,2026-02-01,I004,Americano,2
T0002080,2026-02-01,I004,Americano,1
T0002081,2026-02-01,I004,Americano,2
T0002082,2026-02-01,I004,Americano,2
T0002083,2026-02-01,I004,Americano,1
T0002084,2026-02-01,I004,Americano,2
T0002085,2026-02-01,I004,Americano,1
T0002086,2026-02-01,I004,Americano,1
T0002087,2026-02-01,I004,Americano,1
T0002088,2026-02-01,I005,Green Tea,2
T0002089,2026-02-01,I005,Green Tea,1
T0002090,2026-02-01,I005,Green Tea,1
T0002091,2026-02-01,I005,Green Tea,1
T0002092,2026-02-01,I005,Green Tea,1
T0002093,2026-02-01,I005,Green Tea,2
T0002094,2026-02-01,I005,Green Tea,1
T0002095,2026-02-01,I005,Green Tea,1
T0002096,2026-02-01,I005,Green Tea,3
T0002097,2026-02-01,I005,Green Tea,1
T0002098,2026-02-01,I005,Green Tea,3
T0002099,2026-02-01,I005,Green Tea,1
T0002100,2026-02-01,I005,Green Tea,2
T0002101,2026-02-01,I005,Green Tea,1
T0002102,2026-02-01,I006,Muffin,1
T0002103,2026-02-01,I006,Muffin,2
T0002104,2026-02-01,I006,Muffin,2
T0002105,2026-02-01,I006,Muffin,2
T0002106,2026-02-01,I006,Muffin,1
T0002107,2026-02-01,I006,Muffin,2
T0002108,2026-02-01,I006,Muffin,2
T0002109,2026-02-01,I006,Muffin,1
T0002110,2026-02-01,I006,Muffin,2
T0002111,2026-02-01,I006,Muffin,2
T0002112,2026-02-01,I006,Muffin,1
T0002113,2026-02-01,I007,Croissant,1
T0002114,2026-02-01,I007,Croissant,1
T0002115,2026-02-01,I007,Croissant,1
T0002116,2026-02-01,I007,Croissant,1
T0002117,2026-02-01,I007,Croissant,1
T0002118,2026-02-01,I007,Croissant,1
T0002119,2026-02-01,I007,Croissant,2
T0002120,2026-02-01,I007,Croissant,3
T0002121,2026-02-01,I007,Croissant,1
T0002122,2026-02-01,I007,Croissant,3
T0002123,2026-02-01,I007,Croissant,1
T0002124,2026-02-01,I007,Croissant,1
T0002125,2026-02-01,I007,Croissant,1
T0002126,2026-02-01,I007,Croissant,1
T0002127,2026-02-01,I008,Sandwich,2
