transaction_id,date,item_id,item_name,quantity
T0048403,2025-01-01,I001,Espresso,2
T0048404,2025-01-01,I001,Espresso,3
T0048405,2025-01-01,I001,Espresso,1
T0048406,2025-01-01,I001,Espresso,1
T0048407,2025-01-01,I001,Espresso,1
T0048408,2025-01-01,I001,Espresso,2
T0048409,2025-01-01,I002,Latte,2
T0048410,2025-01-01,I003,Cappuccino,2
T0048411,2025-01-01,I003,Cappuccino,1
T0048412,2025-01-01,I003,Cappuccino,2
T0048413,2025-01-01,I004,Americano,1
T0048414,2025-01-01,I004,Americano,1
T0048415,2025-01-01,I004,Americano,1
T0048416,2025-01-01,I004,Americano,2
T0048417,2025-01-01,I004,Americano,1
T0048418,2025-01-01,I004,Americano,3
T0048419,2025-01-01,I004,Americano,2
T0048420,2025-01-01,I004,Americano,1
T0048421,2025-01-01,I005,Green Tea,2
T0048422,2025-01-01,I005,Green Tea,1
T0048423,2025-01-01,I005,Green Tea,3
T0048424,2025-01-01,I005,Green Tea,1
T0048425,2025-01-01,I005,Green Tea,1
T0048426,2025-01-01,I006,Muffin,1
T0048427,2025-01-01,I006,Muffin,1
T0048428,2025-01-01,I006,Muffin,1
T0048429,2025-01-01,I006,Muffin,1
T0048430,2025-01-01,I006,Muffin,2
T0048431,2025-01-01,I006,Muffin,1
T0048432,2025-01-01,I007,Croissant,3
T0048433,2025-01-01,I007,Croissant,1
T0048434,2025-01-01,I007,Croissant,1
T0048435,2025-01-01,I007,Croissant,1
T0048436,2025-01-01,I007,Croissant,1
T0048437,2025-01-01,I007,Croissant,1
T0048438,2025-01-01,I007,Croissant,2
T0048439,2025-01-01,I007,Croissant,1
T0048440,2025-01-01,I007,Croissant,1
T0048441,2025-01-01,I007,Croissant,2
T0048442,2025-01-01,I008,Sandwich,1
T0048443,2025-01-01,I008,Sandwich,1
T0048444,2025-01-01,I008,Sandwich,1
T0048445,2025-01-01,I008,Sandwich,2
T0048446,2025-01-01,I008,Sandwich,1
T0048447,2025-01-01,I008,Sandwich,1
T0048448,2025-01-01,I008,Sandwich,1
T0048449,2025-01-01,I008,Sandwich,1
T0048450,2025-01-01,I008,Sandwich,1
T0048451,2025-01-01,I008,Sandwich,1
T0048452,2025-01-01,I008,Sandwich,2
T0048453,2025-01-01,I008,Sandwich,2
T0048454,2025-01-01,I008,Sandwich,1
T0048455,2025-01-01,I008,Sandwich,1
T0048456,2025-01-01,I008,Sandwich,2
T0048457,2025-01-02,I001,Espresso,3
T0048458,2025-01-02,I001,Espresso,1
T0048459,2025-01-02,I002,Latte,1
T0048460,2025-01-02,I003,Cappuccino,1
T0048461,2025-01-02,I003,Cappuccino,3
T0048462,2025-01-02,I003,Cappuccino,1
T0048463,2025-01-02,I003,Cappuccino,1
T0048464,2025-01-02,I004,Americano,1
T0048465,2025-01-02,I004,Americano,3
T0048466,2025-01-02,I004,Americano,1
T0048467,2025-01-02,I005,Green Tea,2
T0048468,2025-01-02,I005,Green Tea,1
T0048469,2025-01-02,I005,Green Tea,1
T0048470,2025-01-02,I005,Green Tea,3
T0048471,2025-01-02,I005,Green Tea,1
T0048472,2025-01-02,I005,Green Tea,2
T0048473,2025-01-02,I005,Green Tea,1
T0048474,2025-01-02,I005,Green Tea,1
T0048475,2025-01-02,I006,Muffin,3
T0048476,2025-01-02,I006,Muffin,1
T0048477,2025-01-02,I006,Muffin,1
