transaction_id,date,item_id,item_name,quantity
T0024103,2024-07-01,I001,Espresso,2
T0024104,2024-07-01,I001,Espresso,2
T0024105,2024-07-01,I001,Espresso,1
T0024106,2024-07-01,I001,Espresso,1
T0024107,2024-07-01,I001,Espresso,1
T0024108,2024-07-01,I001,Espresso,1
T0024109,2024-07-01,I001,Espresso,2
T0024110,2024-07-01,I001,Espresso,1
T0024111,2024-07-01,I001,Espresso,1
T0024112,2024-07-01,I001,Espresso,1
T0024113,2024-07-01,I001,Espresso,1
T0024114,2024-07-01,I001,Espresso,1
T0024115,2024-07-01,I001,Espresso,1
T0024116,2024-07-01,I001,Espresso,2
T0024117,2024-07-01,I001,Espresso,1
T0024118,2024-07-01,I001,Espresso,1
T0024119,2024-07-01,I001,Espresso,1
T0024120,2024-07-01,I001,Espresso,1
T0024121,2024-07-01,I001,Espresso,1
T0024122,2024-07-01,I001,Espresso,1
T0024123,2024-07-01,I001,Espresso,2
T0024124,2024-07-01,I001,Espresso,1
T0024125,2024-07-01,I001,Espresso,2
T0024126,2024-07-01,I001,Espresso,1
T0024127,2024-07-01,I001,Espresso,1
T0024128,2024-07-01,I001,Espresso,1
T0024129,2024-07-01,I001,Espresso,1
T0024130,2024-07-01,I001,Espresso,1
T0024131,2024-07-01,I001,Espresso,1
T0024132,2024-07-01,I001,Espresso,1
T0024133,2024-07-01,I001,Espresso,1
T0024134,2024-07-01,I002,Latte,2
T0024135,2024-07-01,I002,Latte,1
T0024136,2024-07-01,I002,Latte,1
T0024137,2024-07-01,I002,Latte,1
T0024138,2024-07-01,I002,Latte,1
T0024139,2024-07-01,I002,Latte,2
T0024140,2024-07-01,I002,Latte,1
T0024141,2024-07-01,I002,Latte,1
T0024142,2024-07-01,I002,Latte,3
T0024143,2024-07-01,I002,Latte,2
T0024144,2024-07-01,I002,Latte,2
T0024145,2024-07-01,I002,Latte,2
T0024146,2024-07-01,I002,Latte,2
T0024147,2024-07-01,I002,Latte,1
T0024148,2024-07-01,I002,Latte,1
T0024149,2024-07-01,I002,Latte,1
T0024150,2024-07-01,I002,Latte,1
T0024151,2024-07-01,I002,Latte,2
T0024152,2024-07-01,I002,Latte,1
T0024153,2024-07-01,I002,Latte,1
T0024154,2024-07-01,I002,Latte,1
T0024155,2024-07-01,I002,Latte,1
T0024156,2024-07-01,I002,Latte,2
T0024157,2024-07-01,I002,Latte,1
T0024158,2024-07-01,I002,Latte,1
T0024159,2024-07-01,I002,Latte,1
T0024160,2024-07-01,I002,Latte,1
T0024161,2024-07-01,I002,Latte,2
T0024162,2024-07-01,I002,Latte,1
T0024163,2024-07-01,I002,Latte,3
T0024164,2024-07-01,I002,Latte,3
T0024165,2024-07-01,I002,Latte,3
T0024166,2024-07-01,I002,Latte,1
T0024167,2024-07-01,I002,Latte,3
T0024168,2024-07-01,I002,Latte,1
T0024169,2024-07-01,I002,Latte,2
T0024170,2024-07-01,I002,Latte,2
