transaction_id,date,item_id,item_name,quantity
T0066154,2025-06-01,I001,Espresso,2
T0066155,2025-06-01,I001,Espresso,1
T0066156,2025-06-01,I001,Espresso,3
T0066157,2025-06-01,I001,Espresso,1
T0066158,2025-06-01,I001,Espresso,3
T0066159,2025-06-01,I001,Espresso,2
T0066160,2025-06-01,I001,Espresso,2
T0066161,2025-06-01,I001,Espresso,2
T0066162,2025-06-01,I001,Espresso,2
T0066163,2025-06-01,I001,Espresso,2
T0066164,2025-06-01,I001,Espresso,2
T0066165,2025-06-01,I001,Espresso,1
T0066166,2025-06-01,I001,Espresso,3
T0066167,2025-06-01,I001,Espresso,1
T0066168,2025-06-01,I001,Espresso,2
T0066169,2025-06-01,I001,Espresso,2
T0066170,2025-06-01,I001,Espresso,2
T0066171,2025-06-01,I001,Espresso,2
T0066172,2025-06-01,I001,Espresso,1
T0066173,2025-06-01,I001,Espresso,2
T0066174,2025-06-01,I001,Espresso,1
T0066175,2025-06-01,I001,Espresso,1
T0066176,2025-06-01,I001,Espresso,2
T0066177,2025-06-01,I001,Espresso,2
T0066178,2025-06-01,I001,Espresso,2
T0066179,2025-06-01,I001,Espresso,1
T0066180,2025-06-01,I001,Espresso,1
T0066181,2025-06-01,I001,Espresso,1
T0066182,2025-06-01,I001,Espresso,1
T0066183,2025-06-01,I001,Espresso,1
T0066184,2025-06-01,I001,Espresso,1
T0066185,2025-06-01,I001,Espresso,2
T0066186,2025-06-01,I001,Espresso,1
T0066187,2025-06-01,I001,Espresso,2
T0066188,2025-06-01,I001,Espresso,1
T0066189,2025-06-01,I001,Espresso,1
T0066190,2025-06-01,I001,Espresso,1
T0066191,2025-06-01,I001,Espresso,3
T0066192,2025-06-01,I002,Latte,1
T0066193,2025-06-01,I002,Latte,2
T0066194,2025-06-01,I002,Latte,1
T0066195,2025-06-01,I002,Latte,3
T0066196,2025-06-01,I002,Latte,2
T0066197,2025-06-01,I002,Latte,2
T0066198,2025-06-01,I002,Latte,1
T0066199,2025-06-01,I002,Latte,2
T0066200,2025-06-01,I002,Latte,1
T0066201,2025-06-01,I002,Latte,1
T0066202,2025-06-01,I002,Latte,2
T0066203,2025-06-01,I002,Latte,1
T0066204,2025-06-01,I002,Latte,1
T0066205,2025-06-01,I002,Latte,1
T0066206,2025-06-01,I002,Latte,1
T0066207,2025-06-01,I002,Latte,2
T0066208,2025-06-01,I002,Latte,3
T0066209,2025-06-01,I002,Latte,2
T0066210,2025-06-01,I002,Latte,1
T0066211,2025-06-01,I002,Latte,1
T0066212,2025-06-01,I002,Latte,1
T0066213,2025-06-01,I002,Latte,1
T0066214,2025-06-01,I002,Latte,1
T0066215,2025-06-01,I002,Latte,1
T0066216,2025-06-01,I002,Latte,1
T0066217,2025-06-01,I002,Latte,1
T0066218,2025-06-01,I002,Latte,1
T0066219,2025-06-01,I002,Latte,1
T0066220,2025-06-01,I002,Latte,1
T0066221,2025-06-01,I002,Latte,1
T0066222,2025-06-01,I002,Latte,2
T0066223,2025-06-01,I002,Latte,1
T0066224,2025-06-01,I002,Latte,1
T0066225,2025-06-01,I002,Latte,1
T0066226,2025-06-01,I002,Latte,1
T0066227,2025-06-01,I002,Latte,1
T0066228,2025-06-01,I002,Latte,1
T0066229,2025-06-01,I002,Latte,1
T0066230,2025-06-01,I002,Latte,1
T0066231,2025-06-01,I002,Latte,1
T0066232,2025-06-01,I002,Latte,1
T0066233,2025-06-01,I002,Latte,1
T0066234,2025-06-01,I002,Latte,1
T0066235,2025-06-01,I002,Latte,1
T0066236,2025-06-01,I002,Latte,1
T0066237,2025-06-01,I002,Latte,1
T0066238,2025-06-01,I002,Latte,3
T0066239,2025-06-01,I002,Latte,1
T0066240,2025-06-01,I002,Latte,1
T0066241,2025-06-01,I002,Latte,2
T0066242,2025-06-01,I002,Latte,1
T0066243,2025-06-01,I002,Latte,2
T0066244,2025-06-01,I002,Latte,1
T0066245,2025-06-01,I002,Latte,1
T0066246,2025-06-01,I002,Latte,1
T0066247,2025-06-01,I002,Latte,1
T0066248,2025-06-01,I002,Latte,1
T0066249,2025-06-01,I002,Latte,1
T0066250,2025-06-01,I002,Latte,3
T0066251,2025-06-01,I002,Latte,1
T0066252,2025-06-01,I002,Latte,1
T0066253,2025-06-01,I002,Latte,2
T0066254,2025-06-01,I002,Latte,1
T0066255,2025-06-01,I002,Latte,1
T0066256,2025-06-01,I002,Latte,3
T0066257,2025-06-01,I002,Latte,2
T0066258,2025-06-01,I002,Latte,1
T0066259,2025-06-01,I002,Latte,1
T0066260,2025-06-01,I003,Cappuccino,1
T0066261,2025-06-01,I003,Cappuccino,1
T0066262,2025-06-01,I003,Cappuccino,1
T0066263,2025-06-01,I003,Cappuccino,1
T0066264,2025-06-01,I003,Cappuccino,1
T0066265,2025-06-01,I003,Cappuccino,1
T0066266,2025-06-01,I003,Cappuccino,1
T0066267,2025-06-01,I003,Cappuccino,2
T0066268,2025-06-01,I003,Cappuccino,1
T0066269,2025-06-01,I003,Cappuccino,1
T0066270,2025-06-01,I003,Cappuccino,2
T0066271,2025-06-01,I003,Cappuccino,2
T0066272,2025-06-01,I003,Cappuccino,2
T0066273,2025-06-01,I003,Cappuccino,1
T0066274,2025-06-01,I003,Cappuccino,1
T0066275,2025-06-01,I003,Cappuccino,1
T0066276,2025-06-01,I003,Cappuccino,2
T0066277,2025-06-01,I003,Cappuccino,1
T0066278,2025-06-01,I003,Cappuccino,2
T0066279,2025-06-01,I003,Cappuccino,1
T0066280,2025-06-01,I003,Cappuccino,1
T0066281,2025-06-01,I003,Cappuccino,1
T0066282,2025-06-01,I003,Cappuccino,1
T0066283,2025-06-01,I003,Cappuccino,2
T0066284,2025-06-01,I003,Cappuccino,1
T0066285,2025-06-01,I003,Cappuccino,1
T0066286,2025-06-01,I003,Cappuccino,1
T0066287,2025-06-01,I003,Cappuccino,1
T0066288,2025-06-01,I003,Cappuccino,1
T0066289,2025-06-01,I003,Cappuccino,1
T0066290,2025-06-01,I003,Cappuccino,1
T0066291,2025-06-01,I003,Cappuccino,1
T0066292,2025-06-01,I003,Cappuccino,3
T0066293,2025-06-01,I003,Cappuccino,1
T0066294,2025-06-01,I004,Americano,2
T0066295,2025-06-01,I004,Americano,1
T0066296,2025-06-01,I004,Americano,1
T0066297,2025-06-01,I004,Americano,1
T0066298,2025-06-01,I004,Americano,1
T0066299,2025-06-01,I004,Americano,1
T0066300,2025-06-01,I004,Americano,1
T0066301,2025-06-01,I004,Americano,1
T0066302,2025-06-01,I004,Americano,1
T0066303,2025-06-01,I004,Americano,2
T0066304,2025-06-01,I004,Americano,1
T0066305,2025-06-01,I004,Americano,1
T0066306,2025-06-01,I004,Americano,2
T0066307,2025-06-01,I004,Americano,1
T0066308,2025-06-01,I004,Americano,2
T0066309,2025-06-01,I004,Americano,1
T0066310,2025-06-01,I004,Americano,3
T0066311,2025-06-01,I004,Americano,1
T0066312,2025-06-01,I004,Americano,2
T0066313,2025-06-01,I004,Americano,1
T0066314,2025-06-01,I004,Americano,1
T0066315,2025-06-01,I004,Americano,1
T0066316,2025-06-01,I004,Americano,1
T0066317,2025-06-01,I004,Americano,1
T0066318,2025-06-01,I004,Americano,2
T0066319,2025-06-01,I004,Americano,2
T0066320,2025-06-01,I005,Green Tea,1
T0066321,2025-06-01,I005,Green Tea,1
T0066322,2025-06-01,I005,Green Tea,1
T0066323,2025-06-01,I005,Green Tea,1
T0066324,2025-06-01,I005,Green Tea,1
T0066325,2025-06-01,I005,Green Tea,2
T0066326,2025-06-01,I005,Green Tea,2
T0066327,2025-06-01,I005,Green Tea,1
T0066328,2025-06-01,I005,Green Tea,2
T0066329,2025-06-01,I005,Green Tea,3
T0066330,2025-06-01,I005,Green Tea,3
T0066331,2025-06-01,I005,Green Tea,1
T0066332,2025-06-01,I005,Green Tea,1
T0066333,2025-06-01,I005,Green Tea,1
T0066334,2025-06-01,I005,Green Tea,1
T0066335,2025-06-01,I005,Green Tea,1
T0066336,2025-06-01,I006,Muffin,1
T0066337,2025-06-01,I006,Muffin,1
T0066338,2025-06-01,I006,Muffin,1
T0066339,2025-06-01,I006,Muffin,2
T0066340,2025-06-01,I006,Muffin,1
T0066341,2025-06-01,I006,Muffin,1
T0066342,2025-06-01,I006,Muffin,1
T0066343,2025-06-01,I006,Muffin,1
T0066344,2025-06-01,I006,Muffin,1
T0066345,2025-06-01,I006,Muffin,2
T0066346,2025-06-01,I006,Muffin,2
T0066347,2025-06-01,I006,Muffin,1
T0066348,2025-06-01,I006,Muffin,1
T0066349,2025-06-01,I006,Muffin,1
T0066350,2025-06-01,I007,Croissant,1
T0066351,2025-06-01,I007,Croissant,2
T0066352,2025-06-01,I007,Croissant,3
T0066353,2025-06-01,I007,Croissant,1
