transaction_id,date,item_id,item_name,quantity
T0052666,2025-03-01,I001,Espresso,1
T0052667,2025-03-01,I001,Espresso,1
T0052668,2025-03-01,I001,Espresso,1
T0052669,2025-03-01,I001,Espresso,1
T0052670,2025-03-01,I001,Espresso,1
T0052671,2025-03-01,I001,Espresso,1
T0052672,2025-03-01,I001,Espresso,1
T0052673,2025-03-01,I001,Espresso,3
T0052674,2025-03-01,I001,Espresso,1
T0052675,2025-03-01,I001,Espresso,2
T0052676,2025-03-01,I001,Espresso,2
T0052677,2025-03-01,I001,Espresso,1
T0052678,2025-03-01,I001,Espresso,1
T0052679,2025-03-01,I001,Espresso,1
T0052680,2025-03-01,I001,Espresso,1
T0052681,2025-03-01,I001,Espresso,1
T0052682,2025-03-01,I001,Espresso,1
T0052683,2025-03-01,I001,Espresso,1
T0052684,2025-03-01,I001,Espresso,2
T0052685,2025-03-01,I001,Espresso,1
T0052686,2025-03-01,I001,Espresso,2
T0052687,2025-03-01,I001,Espresso,1
T0052688,2025-03-01,I001,Espresso,1
T0052689,2025-03-01,I001,Espresso,1
T0052690,2025-03-01,I001,Espresso,2
T0052691,2025-03-01,I002,Latte,1
T0052692,2025-03-01,I002,Latte,1
T0052693,2025-03-01,I002,Latte,1
T0052694,2025-03-01,I002,Latte,1
T0052695,2025-03-01,I002,Latte,1
T0052696,2025-03-01,I002,Latte,1
T0052697,2025-03-01,I002,Latte,2
T0052698,2025-03-01,I002,Latte,2
T0052699,2025-03-01,I002,Latte,1
T0052700,2025-03-01,I002,Latte,3
T0052701,2025-03-01,I002,Latte,1
T0052702,2025-03-01,I002,Latte,1
T0052703,2025-03-01,I002,Latte,3
T0052704,2025-03-01,I002,Latte,1
T0052705,2025-03-01,I002,Latte,2
T0052706,2025-03-01,I002,Latte,1
T0052707,2025-03-01,I002,Latte,2
T0052708,2025-03-01,I002,Latte,2
T0052709,2025-03-01,I002,Latte,1
T0052710,2025-03-01,I002,Latte,2
T0052711,2025-03-01,I002,Latte,3
T0052712,2025-03-01,I002,Latte,1
