transaction_id,date,item_id,item_name,quantity
T0012271,2024-05-01,I001,Espresso,1
T0012272,2024-05-01,I001,Espresso,1
T0012273,2024-05-01,I001,Espresso,3
T0012274,2024-05-01,I001,Espresso,1
T0012275,2024-05-01,I001,Espresso,1
T0012276,2024-05-01,I001,Espresso,1
T0012277,2024-05-01,I001,Espresso,1
T0012278,2024-05-01,I001,Espresso,1
T0012279,2024-05-01,I001,Espresso,1
T0012280,2024-05-01,I001,Espresso,1
T0012281,2024-05-01,I001,Espresso,2
T0012282,2024-05-01,I001,Espresso,1
T0012283,2024-05-01,I001,Espresso,3
T0012284,2024-05-01,I001,Espresso,1
T0012285,2024-05-01,I001,Espresso,1
T0012286,2024-05-01,I001,Espresso,1
T0012287,2024-05-01,I001,Espresso,2
T0012288,2024-05-01,I001,Espresso,3
T0012289,2024-05-01,I001,Espresso,2
T0012290,2024-05-01,I001,Espresso,1
T0012291,2024-05-01,I001,Espresso,1
T0012292,2024-05-01,I001,Espresso,2
T0012293,2024-05-01,I001,Espresso,3
T0012294,2024-05-01,I001,Espresso,3
T0012295,2024-05-01,I001,Espresso,1
T0012296,2024-05-01,I001,Espresso,3
T0012297,2024-05-01,I001,Espresso,1
T0012298,2024-05-01,I001,Espresso,1
T0012299,2024-05-01,I002,Latte,2
T0012300,2024-05-01,I002,Latte,2
T0012301,2024-05-01,I002,Latte,2
T0012302,2024-05-01,I002,Latte,1
T0012303,2024-05-01,I002,Latte,1
T0012304,2024-05-01,I002,Latte,2
T0012305,2024-05-01,I002,Latte,1
T0012306,2024-05-01,I002,Latte,2
T0012307,2024-05-01,I002,Latte,1
T0012308,2024-05-01,I002,Latte,1
T0012309,2024-05-01,I002,Latte,1
T0012310,2024-05-01,I002,Latte,2
T0012311,2024-05-01,I002,Latte,1
T0012312,2024-05-01,I002,Latte,1
T0012313,2024-05-01,I002,Latte,2
T0012314,2024-05-01,I002,Latte,1
T0012315,2024-05-01,I002,Latte,2
T0012316,2024-05-01,I002,Latte,1
T0012317,2024-05-01,I002,Latte,1
T0012318,2024-05-01,I002,Latte,2
T0012319,2024-05-01,I002,Latte,1
T0012320,2024-05-01,I002,Latte,1
T0012321,2024-05-01,I002,Latte,1
T0012322,2024-05-01,I002,Latte,1
T0012323,2024-05-01,I002,Latte,1
T0012324,2024-05-01,I002,Latte,1
T0012325,2024-05-01,I002,Latte,2
T0012326,2024-05-01,I002,Latte,2
T0012327,2024-05-01,I002,Latte,1
T0012328,2024-05-01,I002,Latte,1
T0012329,2024-05-01,I002,Latte,1
T0012330,2024-05-01,I002,Latte,1
T0012331,2024-05-01,I002,Latte,1
T0012332,2024-05-01,I002,Latte,1
T0012333,2024-05-01,I002,Latte,1
T0012334,2024-05-01,I002,Latte,1
T0012335,2024-05-01,I002,Latte,1
T0012336,2024-05-01,I002,Latte,2
T0012337,2024-05-01,I002,Latte,2
T0012338,2024-05-01,I003,Cappuccino,1
T0012339,2024-05-01,I003,Cappuccino,2
T0012340,2024-05-01,I003,Cappuccino,1
T0012341,2024-05-01,I003,Cappuccino,2
T0012342,2024-05-01,I003,Cappuccino,1
T0012343,2024-05-01,I003,Cappuccino,2
T0012344,2024-05-01,I003,Cappuccino,1
T0012345,2024-05-01,I003,Cappuccino,1
T0012346,2024-05-01,I003,Cappuccino,1
T0012347,2024-05-01,I003,Cappuccino,1
T0012348,2024-05-01,I003,Cappuccino,1
T0012349,2024-05-01,I003,Cappuccino,1
T0012350,2024-05-01,I003,Cappuccino,2
T0012351,2024-05-01,I003,Cappuccino,1
T0012352,2024-05-01,I003,Cappuccino,1
T0012353,2024-05-01,I003,Cappuccino,1
T0012354,2024-05-01,I003,Cappuccino,3
T0012355,2024-05-01,I003,Cappuccino,2
T0012356,2024-05-01,I003,Cappuccino,2
T0012357,2024-05-01,I003,Cappuccino,1
T0012358,2024-05-01,I003,Cappuccino,1
T0012359,2024-05-01,I004,Americano,1
T0012360,2024-05-01,I004,Americano,1
T0012361,2024-05-01,I004,Americano,1
T0012362,2024-05-01,I004,Americano,1
T0012363,2024-05-01,I004,Americano,1
T0012364,2024-05-01,I004,Americano,2
T0012365,2024-05-01,I004,Americano,1
T0012366,2024-05-01,I004,Americano,2
T0012367,2024-05-01,I004,Americano,1
T0012368,2024-05-01,I004,Americano,1
T0012369,2024-05-01,I004,Americano,1
T0012370,2024-05-01,I004,Americano,2
T0012371,2024-05-01,I004,Americano,1
T0012372,2024-05-01,I004,Americano,2
T0012373,2024-05-01,I004,Americano,1
T0012374,2024-05-01,I004,Americano,1
T0012375,2024-05-01,I005,Green Tea,2
T0012376,2024-05-01,I005,Green Tea,1
T0012377,2024-05-01,I005,Green Tea,2
T0012378,2024-05-01,I005,Green Tea,1
T0012379,2024-05-01,I005,Green Tea,1
T0012380,2024-05-01,I005,Green Tea,2
T0012381,2024-05-01,I005,Green Tea,3
T0012382,2024-05-01,I006,Muffin,1
T0012383,2024-05-01,I006,Muffin,2
T0012384,2024-05-01,I006,Muffin,1
T0012385,2024-05-01,I006,Muffin,1
T0012386,2024-05-01,I006,Muffin,1
T0012387,2024-05-01,I006,Muffin,1
T0012388,2024-05-01,I006,Muffin,1
T0012389,2024-05-01,I006,Muffin,1
T0012390,2024-05-01,I006,Muffin,1
