transaction_id,date,item_id,item_name,quantity
T0043908,2024-11-01,I001,Espresso,3
T0043909,2024-11-01,I001,Espresso,2
T0043910,2024-11-01,I001,Espresso,1
T0043911,2024-11-01,I001,Espresso,1
T0043912,2024-11-01,I001,Espresso,2
T0043913,2024-11-01,I001,Espresso,1
T0043914,2024-11-01,I001,Espresso,1
T0043915,2024-11-01,I001,Espresso,1
T0043916,2024-11-01,I001,Espresso,2
T0043917,2024-11-01,I001,Espresso,3
T0043918,2024-11-01,I001,Espresso,2
T0043919,2024-11-01,I001,Espresso,3
T0043920,2024-11-01,I001,Espresso,2
T0043921,2024-11-01,I001,Espresso,1
T0043922,2024-11-01,I002,Latte,1
T0043923,2024-11-01,I002,Latte,1
T0043924,2024-11-01,I002,Latte,1
T0043925,2024-11-01,I002,Latte,2
T0043926,2024-11-01,I002,Latte,1
T0043927,2024-11-01,I002,Latte,3
T0043928,2024-11-01,I002,Latte,1
T0043929,2024-11-01,I002,Latte,2
T0043930,2024-11-01,I002,Latte,1
T0043931,2024-11-01,I002,Latte,1
T0043932,2024-11-01,I002,Latte,1
T0043933,2024-11-01,I002,Latte,1
T0043934,2024-11-01,I002,Latte,1
T0043935,2024-11-01,I002,Latte,3
T0043936,2024-11-01,I002,Latte,1
T0043937,2024-11-01,I002,Latte,1
T0043938,2024-11-01,I003,Cappuccino,2
T0043939,2024-11-01,I003,Cappuccino,2
T0043940,2024-11-01,I003,Cappuccino,1
T0043941,2024-11-01,I003,Cappuccino,1
T0043942,2024-11-01,I003,Cappuccino,1
T0043943,2024-11-01,I003,Cappuccino,1
T0043944,2024-11-01,I003,Cappuccino,1
T0043945,2024-11-01,I003,Cappuccino,1
T0043946,2024-11-01,I003,Cappuccino,1
T0043947,2024-11-01,I003,Cappuccino,1
T0043948,2024-11-01,I003,Cappuccino,1
T0043949,2024-11-01,I003,Cappuccino,1
T0043950,2024-11-01,I003,Cappuccino,1
T0043951,2024-11-01,I004,Americano,1
T0043952,2024-11-01,I004,Americano,2
T0043953,2024-11-01,I004,Americano,1
T0043954,2024-11-01,I004,Americano,2
T0043955,2024-11-01,I004,Americano,1
T0043956,2024-11-01,I004,Americano,1
T0043957,2024-11-01,I004,Americano,1
T0043958,2024-11-01,I004,Americano,1
T0043959,2024-11-01,I005,Green Tea,1
T0043960,2024-11-01,I005,Green Tea,1
T0043961,2024-11-01,I005,Green Tea,1
T0043962,2024-11-01,I005,Green Tea,1
T0043963,2024-11-01,I005,Green Tea,1
T0043964,2024-11-01,I006,Muffin,2
T0043965,2024-11-01,I006,Muffin,1
T0043966,2024-11-01,I006,Muffin,3
T0043967,2024-11-01,I006,Muffin,1
T0043968,2024-11-01,I006,Muffin,1
T0043969,2024-11-01,I006,Muffin,1
T0043970,2024-11-01,I006,Muffin,1
T0043971,2024-11-01,I007,Croissant,1
T0043972,2024-11-01,I007,Croissant,1
T0043973,2024-11-01,I007,Croissant,1
T0043974,2024-11-01,I007,Croissant,1
T0043975,2024-11-01,I007,Croissant,1
T0043976,2024-11-01,I007,Croissant,3
T0043977,2024-11-01,I007,Croissant,1
T0043978,2024-11-01,I007,Croissant,2
T0043979,2024-11-01,I007,Croissant,1
T0043980,2024-11-01,I008,Sandwich,2
T0043981,2024-11-01,I008,Sandwich,2
T0043982,2024-11-01,I008,Sandwich,1
T0043983,2024-11-01,I008,Sandwich,1
T0043984,2024-11-01,I008,Sandwich,1
T0043985,2024-11-01,I008,Sandwich,1
T0043986,2024-11-01,I008,Sandwich,1
T0043987,2024-11-01,I008,Sandwich,2
T0043988,2024-11-01,I008,Sandwich,1
T0043989,2024-11-01,I008,Sandwich,2
T0043990,2024-11-01,I008,Sandwich,1
T0043991,2024-11-01,I008,Sandwich,2
T0043992,2024-11-01,I008,Sandwich,1
T0043993,2024-11-02,I001,Espresso,1
T0043994,2024-11-02,I001,Espresso,1
T0043995,2024-11-02,I001,Espresso,1
T0043996,2024-11-02,I001,Espresso,1
T0043997,2024-11-02,I001,Espresso,2
T0043998,2024-11-02,I001,Espresso,2
T0043999,2024-11-02,I001,Espresso,1
T0044000,2024-11-02,I001,Espresso,1
T0044001,2024-11-02,I001,Espresso,2
T0044002,2024-11-02,I001,Espresso,1
T0044003,2024-11-02,I001,Espresso,2
T0044004,2024-11-02,I001,Espresso,1
T0044005,2024-11-02,I001,Espresso,2
T0044006,2024-11-02,I001,Espresso,1
T0044007,2024-11-02,I001,Espresso,1
T0044008,2024-11-02,I001,Espresso,1
T0044009,2024-11-02,I001,Espresso,2
T0044010,2024-11-02,I001,Espresso,1
T0044011,2024-11-02,I002,Latte,2
T0044012,2024-11-02,I002,Latte,1
T0044013,2024-11-02,I002,Latte,1
T0044014,2024-11-02,I002,Latte,2
T0044015,2024-11-02,I002,Latte,2
T0044016,2024-11-02,I002,Latte,1
T0044017,2024-11-02,I002,Latte,3
T0044018,2024-11-02,I002,Latte,1
T0044019,2024-11-02,I002,Latte,1
T0044020,2024-11-02,I002,Latte,1
T0044021,2024-11-02,I002,Latte,1
T0044022,2024-11-02,I002,Latte,1
T0044023,2024-11-02,I002,Latte,1
T0044024,2024-11-02,I002,Latte,1
T0044025,2024-11-02,I002,Latte,1
T0044026,2024-11-02,I002,Latte,1
T0044027,2024-11-02,I002,Latte,1
T0044028,2024-11-02,I002,Latte,1
T0044029,2024-11-02,I002,Latte,1
T0044030,2024-11-02,I002,Latte,3
T0044031,2024-11-02,I002,Latte,1
T0044032,2024-11-02,I002,Latte,2
T0044033,2024-11-02,I002,Latte,1
T0044034,2024-11-02,I002,Latte,1
T0044035,2024-11-02,I002,Latte,1
T0044036,2024-11-02,I002,Latte,1
T0044037,2024-11-02,I002,Latte,3
T0044038,2024-11-02,I003,Cappuccino,1
T0044039,2024-11-02,I003,Cappuccino,1
T0044040,2024-11-02,I003,Cappuccino,1
T0044041,2024-11-02,I003,Cappuccino,1
T0044042,2024-11-02,I003,Cappuccino,2
T0044043,2024-11-02,I003,Cappuccino,1
T0044044,2024-11-02,I003,Cappuccino,1
T0044045,2024-11-02,I003,Cappuccino,3
T0044046,2024-11-02,I003,Cappuccino,1
T0044047,2024-11-02,I003,Cappuccino,1
T0044048,2024-11-02,I003,Cappuccino,1
T0044049,2024-11-02,I003,Cappuccino,1
T0044050,2024-11-02,I003,Cappuccino,1
T0044051,2024-11-02,I003,Cappuccino,1
T0044052,2024-11-02,I003,Cappuccino,3
T0044053,2024-11-02,I003,Cappuccino,2
T0044054,2024-11-02,I003,Cappuccino,1
T0044055,2024-11-02,I003,Cappuccino,1
T0044056,2024-11-02,I003,Cappuccino,1
T0044057,2024-11-02,I004,Americano,2
T0044058,2024-11-02,I004,Americano,1
T0044059,2024-11-02,I004,Americano,1
T0044060,2024-11-02,I004,Americano,2
T0044061,2024-11-02,I004,Americano,1
T0044062,2024-11-02,I004,Americano,2
T0044063,2024-11-02,I004,Americano,1
T0044064,2024-11-02,I004,Americano,1
T0044065,2024-11-02,I004,Americano,2
T0044066,2024-11-02,I004,Americano,1
T0044067,2024-11-02,I004,Americano,1
T0044068,2024-11-02,I004,Americano,1
T0044069,2024-11-02,I004,Americano,1
T0044070,2024-11-02,I005,Green Tea,1
T0044071,2024-11-02,I005,Green Tea,3
T0044072,2024-11-02,I005,Green Tea,2
T0044073,2024-11-02,I005,Green Tea,1
T0044074,2024-11-02,I005,Green Tea,1
T0044075,2024-11-02,I005,Green Tea,1
T0044076,2024-11-02,I005,Green Tea,2
T0044077,2024-11-02,I005,Green Tea,1
T0044078,2024-11-02,I005,Green Tea,1
T0044079,2024-11-02,I005,Green Tea,1
T0044080,2024-11-02,I005,Green Tea,3
T0044081,2024-11-02,I006,Muffin,1
T0044082,2024-11-02,I006,Muffin,1
T0044083,2024-11-02,I006,Muffin,1
T0044084,2024-11-02,I006,Muffin,1
T0044085,2024-11-02,I006,Muffin,1
T0044086,2024-11-02,I006,Muffin,1
T0044087,2024-11-02,I006,Muffin,1
T0044088,2024-11-02,I006,Muffin,1
