transaction_id,date,item_id,item_name,quantity
T0040510,2024-10-01,I001,Espresso,1
T0040511,2024-10-01,I001,Espresso,1
T0040512,2024-10-01,I001,Espresso,1
T0040513,2024-10-01,I001,Espresso,1
T0040514,2024-10-01,I001,Espresso,1
T0040515,2024-10-01,I001,Espresso,2
T0040516,2024-10-01,I001,Espresso,1
T0040517,2024-10-01,I001,Espresso,1
T0040518,2024-10-01,I001,Espresso,1
T0040519,2024-10-01,I001,Espresso,1
T0040520,2024-10-01,I001,Espresso,1
T0040521,2024-10-01,I001,Espresso,1
T0040522,2024-10-01,I001,Espresso,1
T0040523,2024-10-01,I001,Espresso,3
T0040524,2024-10-01,I002,Latte,3
T0040525,2024-10-01,I002,Latte,1
T0040526,2024-10-01,I002,Latte,1
T0040527,2024-10-01,I002,Latte,1
T0040528,2024-10-01,I002,Latte,1
T0040529,2024-10-01,I002,Latte,1
T0040530,2024-10-01,I002,Latte,1
T0040531,2024-10-01,I002,Latte,1
T0040532,2024-10-01,I002,Latte,2
T0040533,2024-10-01,I002,Latte,1
T0040534,2024-10-01,I002,Latte,3
T0040535,2024-10-01,I002,Latte,1
T0040536,2024-10-01,I002,Latte,1
T0040537,2024-10-01,I002,Latte,3
T0040538,2024-10-01,I002,Latte,2
T0040539,2024-10-01,I002,Latte,2
T0040540,2024-10-01,I002,Latte,1
T0040541,2024-10-01,I002,Latte,2
T0040542,2024-10-01,I002,Latte,1
T0040543,2024-10-01,I002,Latte,2
T0040544,2024-10-01,I002,Latte,3
T0040545,2024-10-01,I002,Latte,1
T0040546,2024-10-01,I002,Latte,1
T0040547,2024-10-01,I002,Latte,2
T0040548,2024-10-01,I002,Latte,1
T0040549,2024-10-01,I003,Cappuccino,1
T0040550,2024-10-01,I003,Cappuccino,1
T0040551,2024-10-01,I003,Cappuccino,1
T0040552,2024-10-01,I003,Cappuccino,1
T0040553,2024-10-01,I003,Cappuccino,1
T0040554,2024-10-01,I003,Cappuccino,1
T0040555,2024-10-01,I003,Cappuccino,1
T0040556,2024-10-01,I003,Cappuccino,1
T0040557,2024-10-01,I003,Cappuccino,1
T0040558,2024-10-01,I003,Cappuccino,2
T0040559,2024-10-01,I003,Cappuccino,1
T0040560,2024-10-01,I003,Cappuccino,2
T0040561,2024-10-01,I003,Cappuccino,2
T0040562,2024-10-01,I004,Americano,2
T0040563,2024-10-01,I004,Americano,1
T0040564,2024-10-01,I004,Americano,1
T0040565,2024-10-01,I004,Americano,1
T0040566,2024-10-01,I004,Americano,1
T0040567,2024-10-01,I004,Americano,1
T0040568,2024-10-01,I004,Americano,1
T0040569,2024-10-01,I004,Americano,1
T0040570,2024-10-01,I004,Americano,1
T0040571,2024-10-01,I005,Green Tea,3
T0040572,2024-10-01,I005,Green Tea,1
T0040573,2024-10-01,I005,Green Tea,1
T0040574,2024-10-01,I005,Green Tea,2
T0040575,2024-10-01,I005,Green Tea,1
T0040576,2024-10-01,I005,Green Tea,1
T0040577,2024-10-01,I005,Green Tea,2
T0040578,2024-10-01,I005,Green Tea,2
T0040579,2024-10-01,I005,Green Tea,1
T0040580,2024-10-01,I006,Muffin,1
T0040581,2024-10-01,I006,Muffin,1
T0040582,2024-10-01,I006,Muffin,1
T0040583,2024-10-01,I006,Muffin,1
T0040584,2024-10-01,I006,Muffin,1
T0040585,2024-10-01,I006,Muffin,1
T0040586,2024-10-01,I006,Muffin,2
T0040587,2024-10-01,I006,Muffin,2
T0040588,2024-10-01,I007,Croissant,2
T0040589,2024-10-01,I007,Croissant,1
T0040590,2024-10-01,I007,Croissant,1
T0040591,2024-10-01,I007,Croissant,2
T0040592,2024-10-01,I007,Croissant,1
T0040593,2024-10-01,I007,Croissant,1
T0040594,2024-10-01,I007,Croissant,1
T0040595,2024-10-01,I007,Croissant,1
T0040596,2024-10-01,I008,Sandwich,1
T0040597,2024-10-01,I008,Sandwich,1
T0040598,2024-10-01,I008,Sandwich,2
T0040599,2024-10-01,I008,Sandwich,1
T0040600,2024-10-01,I008,Sandwich,2
T0040601,2024-10-01,I008,Sandwich,1
T0040602,2024-10-01,I008,Sandwich,1
T0040603,2024-10-01,I008,Sandwich,2
T0040604,2024-10-01,I008,Sandwich,2
T0040605,2024-10-01,I008,Sandwich,3
T0040606,2024-10-01,I008,Sandwich,1
T0040607,2024-10-01,I008,Sandwich,1
T0040608,2024-10-02,I001,Espresso,1
T0040609,2024-10-02,I001,Espresso,1
T0040610,2024-10-02,I001,Espresso,1
T0040611,2024-10-02,I001,Espresso,1
T0040612,2024-10-02,I001,Espresso,2
T0040613,2024-10-02,I001,Espresso,1
T0040614,2024-10-02,I001,Espresso,1
T0040615,2024-10-02,I001,Espresso,1
T0040616,2024-10-02,I001,Espresso,1
T0040617,2024-10-02,I001,Espresso,3
T0040618,2024-10-02,I001,Espresso,1
T0040619,2024-10-02,I001,Espresso,2
T0040620,2024-10-02,I001,Espresso,3
T0040621,2024-10-02,I001,Espresso,3
T0040622,2024-10-02,I001,Espresso,2
T0040623,2024-10-02,I001,Espresso,1
T0040624,2024-10-02,I002,Latte,1
T0040625,2024-10-02,I002,Latte,2
T0040626,2024-10-02,I002,Latte,2
T0040627,2024-10-02,I002,Latte,1
T0040628,2024-10-02,I002,Latte,1
T0040629,2024-10-02,I002,Latte,1
T0040630,2024-10-02,I002,Latte,1
T0040631,2024-10-02,I002,Latte,1
T0040632,2024-10-02,I002,Latte,1
T0040633,2024-10-02,I002,Latte,1
T0040634,2024-10-02,I002,Latte,1
T0040635,2024-10-02,I002,Latte,1
T0040636,2024-10-02,I002,Latte,1
T0040637,2024-10-02,I002,Latte,1
T0040638,2024-10-02,I002,Latte,3
T0040639,2024-10-02,I002,Latte,1
T0040640,2024-10-02,I002,Latte,1
T0040641,2024-10-02,I002,Latte,2
T0040642,2024-10-02,I002,Latte,1
T0040643,2024-10-02,I002,Latte,1
T0040644,2024-10-02,I002,Latte,1
T0040645,2024-10-02,I002,Latte,1
T0040646,2024-10-02,I002,Latte,1
T0040647,2024-10-02,I002,Latte,1
T0040648,2024-10-02,I002,Latte,1
T0040649,2024-10-02,I002,Latte,1
T0040650,2024-10-02,I002,Latte,1
T0040651,2024-10-02,I002,Latte,1
T0040652,2024-10-02,I002,Latte,1
T0040653,2024-10-02,I002,Latte,1
T0040654,2024-10-02,I002,Latte,1
T0040655,2024-10-02,I002,Latte,1
T0040656,2024-10-02,I003,Cappuccino,1
T0040657,2024-10-02,I003,Cappuccino,1
T0040658,2024-10-02,I003,Cappuccino,1
T0040659,2024-10-02,I003,Cappuccino,1
T0040660,2024-10-02,I003,Cappuccino,2
T0040661,2024-10-02,I003,Cappuccino,1
T0040662,2024-10-02,I003,Cappuccino,1
T0040663,2024-10-02,I003,Cappuccino,1
T0040664,2024-10-02,I003,Cappuccino,1
T0040665,2024-10-02,I003,Cappuccino,1
T0040666,2024-10-02,I003,Cappuccino,2
T0040667,2024-10-02,I003,Cappuccino,1
T0040668,2024-10-02,I003,Cappuccino,2
T0040669,2024-10-02,I003,Cappuccino,1
T0040670,2024-10-02,I003,Cappuccino,1
T0040671,2024-10-02,I003,Cappuccino,2
T0040672,2024-10-02,I004,Americano,1
T0040673,2024-10-02,I004,Americano,3
T0040674,2024-10-02,I004,Americano,1
T0040675,2024-10-02,I004,Americano,1
T0040676,2024-10-02,I004,Americano,1
T0040677,2024-10-02,I004,Americano,1
T0040678,2024-10-02,I004,Americano,1
T0040679,2024-10-02,I004,Americano,1
T0040680,2024-10-02,I004,Americano,1
T0040681,2024-10-02,I004,Americano,2
T0040682,2024-10-02,I004,Americano,1
T0040683,2024-10-02,I004,Americano,3
T0040684,2024-10-02,I005,Green Tea,1
T0040685,2024-10-02,I005,Green Tea,1
T0040686,2024-10-02,I005,Green Tea,2
T0040687,2024-10-02,I005,Green Tea,1
T0040688,2024-10-02,I005,Green Tea,1
T0040689,2024-10-02,I005,Green Tea,1
T0040690,2024-10-02,I005,Green Tea,1
T0040691,2024-10-02,I005,Green Tea,3
T0040692,2024-10-02,I006,Muffin,2
T0040693,2024-10-02,I006,Muffin,1
T0040694,2024-10-02,I006,Muffin,2
T0040695,2024-10-02,I006,Muffin,1
T0040696,2024-10-02,I006,Muffin,1
T0040697,2024-10-02,I006,Muffin,2
T0040698,2024-10-02,I006,Muffin,1
T0040699,2024-10-02,I006,Muffin,1
T0040700,2024-10-02,I006,Muffin,1
T0040701,2024-10-02,I006,Muffin,1
T0040702,2024-10-02,I006,Muffin,1
T0040703,2024-10-02,I007,Croissant,1
T0040704,2024-10-02,I007,Croissant,1
T0040705,2024-10-02,I007,Croissant,2
T0040706,2024-10-02,I007,Croissant,1
T0040707,2024-10-02,I007,Croissant,1
T0040708,2024-10-02,I007,Croissant,1
T0040709,2024-10-02,I007,Croissant,2
T0040710,2024-10-02,I007,Croissant,1
T0040711,2024-10-02,I007,Croissant,3
T0040712,2024-10-02,I007,Croissant,1
T0040713,2024-10-02,I007,Croissant,1
T0040714,2024-10-02,I008,Sandwich,1
T0040715,2024-10-02,I008,Sandwich,1
T0040716,2024-10-02,I008,Sandwich,1
T0040717,2024-10-02,I008,Sandwich,2
T0040718,2024-10-02,I008,Sandwich,2
T0040719,2024-10-02,I008,Sandwich,1
T0040720,2024-10-02,I008,Sandwich,2
T0040721,2024-10-02,I008,Sandwich,1
T0040722,2024-10-02,I008,Sandwich,1
T0040723,2024-10-02,I008,Sandwich,1
T0040724,2024-10-02,I008,Sandwich,1
T0040725,2024-10-03,I001,Espresso,2
T0040726,2024-10-03,I001,Espresso,1
T0040727,2024-10-03,I001,Espresso,1
T0040728,2024-10-03,I001,Espresso,1
T0040729,2024-10-03,I001,Espresso,1
T0040730,2024-10-03,I001,Espresso,1
T0040731,2024-10-03,I001,Espresso,1
T0040732,2024-10-03,I001,Espresso,1
T0040733,2024-10-03,I001,Espresso,2
T0040734,2024-10-03,I001,Espresso,1
T0040735,2024-10-03,I001,Espresso,1
T0040736,2024-10-03,I001,Espresso,1
T0040737,2024-10-03,I001,Espresso,1
T0040738,2024-10-03,I001,Espresso,1
T0040739,2024-10-03,I001,Espresso,3
T0040740,2024-10-03,I001,Espresso,2
T0040741,2024-10-03,I001,Espresso,2
