transaction_id,date,item_id,item_name,quantity
T0036084,2024-09-01,I001,Espresso,1
T0036085,2024-09-01,I001,Espresso,1
T0036086,2024-09-01,I001,Espresso,1
T0036087,2024-09-01,I001,Espresso,1
T0036088,2024-09-01,I001,Espresso,1
T0036089,2024-09-01,I001,Espresso,1
T0036090,2024-09-01,I001,Espresso,1
T0036091,2024-09-01,I001,Espresso,3
T0036092,2024-09-01,I001,Espresso,3
T0036093,2024-09-01,I001,Espresso,1
T0036094,2024-09-01,I001,Espresso,1
T0036095,2024-09-01,I001,Espresso,1
T0036096,2024-09-01,I001,Espresso,1
T0036097,2024-09-01,I001,Espresso,1
T0036098,2024-09-01,I001,Espresso,1
T0036099,2024-09-01,I001,Espresso,2
T0036100,2024-09-01,I001,Espresso,1
T0036101,2024-09-01,I001,Espresso,3
T0036102,2024-09-01,I001,Espresso,1
T0036103,2024-09-01,I001,Espresso,1
T0036104,2024-09-01,I001,Espresso,2
T0036105,2024-09-01,I001,Espresso,1
T0036106,2024-09-01,I001,Espresso,3
T0036107,2024-09-01,I001,Espresso,1
T0036108,2024-09-01,I001,Espresso,3
T0036109,2024-09-01,I001,Espresso,3
T0036110,2024-09-01,I001,Espresso,1
T0036111,2024-09-01,I001,Espresso,2
T0036112,2024-09-01,I002,Latte,1
T0036113,2024-09-01,I002,Latte,1
T0036114,2024-09-01,I002,Latte,1
T0036115,2024-09-01,I002,Latte,1
T0036116,2024-09-01,I002,Latte,2
T0036117,2024-09-01,I002,Latte,1
T0036118,2024-09-01,I002,Latte,3
T0036119,2024-09-01,I002,Latte,1
T0036120,2024-09-01,I002,Latte,1
T0036121,2024-09-01,I002,Latte,2
T0036122,2024-09-01,I002,Latte,2
T0036123,2024-09-01,I002,Latte,2
T0036124,2024-09-01,I002,Latte,1
T0036125,2024-09-01,I002,Latte,1
T0036126,2024-09-01,I002,Latte,1
T0036127,2024-09-01,I002,Latte,1
T0036128,2024-09-01,I002,Latte,1
T0036129,2024-09-01,I002,Latte,1
T0036130,2024-09-01,I002,Latte,1
T0036131,2024-09-01,I002,Latte,2
T0036132,2024-09-01,I002,Latte,2
T0036133,2024-09-01,I002,Latte,1
T0036134,2024-09-01,I002,Latte,1
T0036135,2024-09-01,I002,Latte,1
T0036136,2024-09-01,I002,Latte,1
T0036137,2024-09-01,I002,Latte,2
T0036138,2024-09-01,I002,Latte,1
T0036139,2024-09-01,I002,Latte,2
T0036140,2024-09-01,I002,Latte,1
T0036141,2024-09-01,I002,Latte,2
T0036142,2024-09-01,I002,Latte,1
T0036143,2024-09-01,I002,Latte,2
T0036144,2024-09-01,I002,Latte,1
T0036145,2024-09-01,I002,Latte,1
T0036146,2024-09-01,I002,Latte,1
T0036147,2024-09-01,I002,Latte,1
T0036148,2024-09-01,I002,Latte,1
T0036149,2024-09-01,I002,Latte,3
T0036150,2024-09-01,I002,Latte,1
T0036151,2024-09-01,I002,Latte,1
T0036152,2024-09-01,I002,Latte,2
T0036153,2024-09-01,I002,Latte,1
T0036154,2024-09-01,I002,Latte,1
T0036155,2024-09-01,I002,Latte,3
T0036156,2024-09-01,I002,Latte,1
T0036157,2024-09-01,I002,Latte,1
T0036158,2024-09-01,I002,Latte,2
T0036159,2024-09-01,I002,Latte,1
T0036160,2024-09-01,I003,Cappuccino,2
T0036161,2024-09-01,I003,Cappuccino,1
T0036162,2024-09-01,I003,Cappuccino,1
T0036163,2024-09-01,I003,Cappuccino,1
T0036164,2024-09-01,I003,Cappuccino,3
T0036165,2024-09-01,I003,Cappuccino,2
T0036166,2024-09-01,I003,Cappuccino,1
T0036167,2024-09-01,I003,Cappuccino,1
T0036168,2024-09-01,I003,Cappuccino,1
T0036169,2024-09-01,I003,Cappuccino,1
T0036170,2024-09-01,I003,Cappuccino,2
T0036171,2024-09-01,I003,Cappuccino,3
T0036172,2024-09-01,I003,Cappuccino,2
T0036173,2024-09-01,I003,Cappuccino,1
T0036174,2024-09-01,I003,Cappuccino,1
